content,predicted_category
"Hamas'ın askeri kanadı İzzeddin el-Kassam Tugayları, Gazze Şeridi'nin güneyindeki Refah şehrinin doğusunda 15 İsrail askerinin öldürüldüğünü duyurdu.
Kassam Tugaylarından konuya dair yazılı açıklama yapıldı. Açıklamada, İsrail askerlerinin bulunduğu bir evin hedef alındığı ve 15 İsrail askerinin öldürüldüğü ifade edildi. Saldırının ardından Kassam direnişçilerinin eve baskın düzenleyerek evin çevresinde İsrail askerleriyle yakın mesafeden çatıştığı kaydedildi.

İsrail ordusuna ait ""Merkava"" tipi 4 tankın da ""Yasin-105"" roketleriyle vurulduğu aktarıldı. Kassam Tugaylarının ayrıca Gazze Şeridi'nin güneyindeki Refah Sınır Kapısı'nda konuşlandırılmış İsrail askerlerine de havan toplarıyla saldırdıkları belirtildi. Konuya ilişkin İsrail'den henüz açıklama yapılmadı.

İsrail ordusu, 6 Mayıs'ta yaptığı açıklamada, zorla yerinden edilmiş Filistinlilerin sığındığı Refah'ın doğusundaki bazı mahallelerin boşaltılması uyarısında bulunmuştu. Bunun ardından 7 Mayıs'ta İsrail ordusu, Gazze'nin Refah bölgesine kara saldırısı başlatarak Mısır'la olan sınır kapısının Gazze tarafını ele geçirdiğini duyurmuştu. İsrail Güvenlik Kabinesi de 10 Mayıs'ta Refah kentindeki kara saldırılarının ""alanının genişletilmesine"" ilişkin kararı onaylamıştı.

İsrail'in 7 Ekim' 2023'ten bu yana Gazze Şeridi'ne düzenlediği saldırılarda en az 15 bin 103'ü çocuk, 9 bin 849'u kadın olmak üzere 35 bin 303 Filistinli öldürüldü, 79 bin 261 kişi yaralandı. Enkaz altında halen binlerce ölü olduğu bildirilirken, halkın sığındığı hastane ve eğitim kurumları hedef alınarak sivil altyapı da tahrip ediliyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"AK Partili Pervari Belediye Başkanı Tayyar Özcan, alkol masasında çekilen görüntüleriyle ilgili açıklama yaptı. Özcan, görüntülerin 7-8 yıl öncesine ait olduğunu belirterek, ""Tamamıyla aile ortamı. Görüntülerdeki kadının ailesi de, annesi de orada. Seçimlerde rakibim olan DEVA Partisi adayı İsmail Bilen kaybettiği için yediremedi gururuna. Böyle bir iftira attı. "" ifadelerini kullandı.

Yerel seçimlerde yüzde 52'lik oyla Siirt'in Pervari ilçesinde belediye başkanı seçilen AK Partili Tayyar Özcan'ın alkollü bir mekanda bir kadınla çekilen görüntüleri tartışmaları da beraberinde getirdi. Görüntüler sosyal medyada hızla yayılırken, Tayyar Özcan'dan da açıklama geldi.
Haberler.com'a konuşan Tayyar Özcan, görüntülerin 7-8 yıl öncesine ait olduğunu söyledi. Tamamıyla aile ortamı olduğunu belirten Özcan, seçimlerde DEVA Partisi'nin Pervari adayı olan İsmail Bilen'in kaybedince kendisine iftira attığını iddia etti.
Özcan şunları söyledi: ""Tamamıyla yalan haber. Bilen ailesi var burada bize karşı olan bir aile. Yazılanların hepsi iftira. Bu görüntüler de 7-8 yıl önce çekilen bir görüntü. Ve tamamıyla aile ortamı. Görüntülerdeki kadının ailesi de, annesi de orada. Hepsi iftira. Tamamıyla amaçları yıpratmak.
Bizim orada seçimlerden sonra olay oldu. Karşı taraftan 1 ölü bizden 4 yaralı var. Karşı tarafın, Bilen ailesinin yaptığı bir haber. Bahsi geçen tüm konular, iftira, yalan. Ben suç duyurusunda bulundum. Artık hukuki boyutunu takip edeceğiz. Benim kan davalı olduğum şahıslar basına Suphi Baldug adına konuşma yapmışlar. Ama Suphi Baldug ortada yok. Baldug da suç duyurusunda bulundu. Suphi Baldug şu an Bilen ailesinin yanında.
İsmail Bilen yerel seçimlerde benim rakibimdi. DEVA Partisi'nin Pervari adayıydı. Kaybettiği için yediremedi gururuna, iftira attı. Bunların ailesi bize oy veren vatandaşımızın önünü kesip dövdüler. Olay büyüyor. Kavgada İsmail Bilen kardeşi silahla vurularak vefat etti. Amaçları şu an beni yıpratmak.""
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"Süper Lig 37. haftasında oynanacak Galatasaray-  Fenerbahçe maçının VAR hakemi açıklandı. 19 Mayıs Pazar günü saat 19.00'da başlayacak mücadeleyi, hakem Arda Kardeşler yönetecek. Türkiye Futbol Federasyonu, VAR odasında İtalyan hakem Fabio Maresca görev yapacağını açıkladı.

43 yaşındaki İtalyan hakem, bu sezon Fenerbahçe'nin Twente ile oynadığı Konferans Ligi mücadelesinde görev yapmıştı. Sarı lacivertliler, Maresca'nın yönettiği Hollanda'daki maçı 1-0 kazanmayı bildi.
Deneyimli hakem, son olarak 15 Mayıs'ta oynanan Atalanta-Juventus İtalya Kupası finalinde orta hakem olarak düdük çaldı. Mücadeleyi 1-0 kazanan Juventus kupayı müzesine götürdü.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",spor 
"Venezuela ile Türkiye arasında 2023'te İstanbul'da imzalanan Yatırımların Karşılıklı Teşviki ve Korunması Anlaşması'nın  Venezuela'daki onay sürecinin tamamlandığını gösteren belge Devlet Başkanı Nicolas Maduro tarafından imzalandı.

Maduro, haftalık olarak düzenlenen ve televizyondan canlı yayınlanan ""Maduro ile daha fazla"" isimli programına Türkiye'nin Karakas Büyükelçisi Aydan Karamanoğlu'nu davet etti.
Cumhurbaşkanı Maduro onay belgesini imzalamadan önce yaptığı konuşmada, ""Öncelikle kardeş Türkiye Cumhuriyeti ile ilişkilerimizi, yatırımlarımızı ve ticaretimizi daha ileri bir seviyeye taşıyacak ekonomik nitelikli bir belgeyi imzalamak üzereyim. Buradan dostum Cumhurbaşkanı Recep Tayyip Erdoğan'a selamlarımı iletiyorum. Bolivarcı Venezuela Cumhuriyeti ile Türkiye Cumhuriyeti arasında imzalanmış olan 'Yatırımların Karşılıklı Teşviki ve Korunması Anlaşması'nın onay belgesini imzalıyorum."" dedi.
Alkışlar arasında belgeye imza atan ve ardından Büyükelçi Karamanoğlu'na söz veren Maduro, ""İmzalanmıştır ve onaylanmıştır. Yayımlansın ve uygulansın. Venezuela'daki dostumuz Türkiye Büyükelçisinden Venezuela'daki yatırım, ticaret ve ekonomik entegrasyona ve bu belgeye ilişkin görüşlerini bizimle paylaşmasını rica ediyorum."" ifadelerini kullandı.
Büyükelçi Karamanoğlu belgenin imzalanmasından dolayı ""son derece"" mutlu olduklarını belirterek, ""Bildiğiniz gibi, her alanda Venezuela'nın yanındayız. Kardeş ülkelerimiz arasındaki ekonomik ilişkilerin güçlendirilmesi açısından bu anlaşma çok önemli olacak."" diye konuştu.
Maduro'ya iki ülke arasındaki ekonomik ve ticari ilişkilerden bahseden Karamanoğlu, ""Başka etkinliklerimiz de var. Henüz bu sabah 30'dan fazla Türk ve Venezuelalı firmanın katılımıyla balıkçılık ve su ürünleri üzerine bir video konferans gerçekleştirdik. Önümüzdeki hafta 21-22 Mayıs tarihleri arasında işbirliği ve kardeşliğimizle ilgili tüm konuların ele alınacağı IV. Ortak İşbirliği Komisyonu Toplantısı'nı düzenleyeceğiz ve 26-28 Eylül tarihleri arasında Karakas'ta 2. Türk Ürünleri Fuarını gerçekleştireceğiz. Gördüğünüz üzere biz Venezuela'nın geleceğine güveniyoruz, Venezuela'nın yanındayız."" ifadelerini kullandı.
Türkiye ile Venezuela arasında Yatırımların Karşılıklı Teşviki ve Korunması Anlaşması, İstanbul'u ziyaret eden Venezuela Dışişleri Bakanı Yvan Gil'in Dışişleri Bakanı Hakan Fidan'la 21 Temmuz 2023 tarihinde yaptığı ikili görüşmenin ardından imzalanmıştı.
Söz konusu anlaşmanın iç hukuk onay sürecinin Türkiye'de de tamamlanmasının ardından ülkeler arasında nota teatisinin yapılmasıyla anlaşma yürürlüğe girecek.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",dunya 
"Adalet Bakanı Yılmaz Tunç,  Ankara'daki bir duruşmada mahkeme heyetindeki başkan ve üye hakimin başörtülü olması nedeniyle reddi hakim talebinde bulunan avukat hakkında soruşturma başlatıldığını bildirdi.

Ankara 1. Ağır Ceza Mahkemesinde görülen uyuşturucu davasında sanık avukatı, mahkeme heyetindeki başkan ve üye hakimin başörtüleri olmasının ""laikliğe aykırı"" olduğunu savunarak, hakimleri reddettiğini, dosyaya bakmamaları gerektiğini söyledi. Mahkeme başkanı, talebin değerlendirilmesi için duruşmayı 2 Temmuz'a erteledi.
Sosyal medya hesabından konuyla ilgili açıklamalarda bulunan Adalet Bakanı Yılmaz Tunç, yaşananlara şöyle tepki gösterdi: ""Ankara 1'inci Ağır Ceza Mahkemesi'nde görülen bir davada sanık avukatının, mahkeme heyetindeki başkan ve üye hakimin başörtülü olması nedeniyle reddi hakim talebinde bulunması eski Türkiye kafasıdır. Kadınların inanç, eğitim ve çalışma özgürlüğünü gasp eden 28 Şubat zihniyetiyle hareket etmek, hak arama hürriyetinin teminatı olan bir avukata yakışmamıştır. Anayasamıza göre herkes vicdan, dini inanç ve kanaat hürriyetine sahiptir. Yine anayasamıza göre kimse dini inanç ve kanaatlerinden dolayı kınanamaz ve suçlanamaz.
Cumhurbaşkanımız Recep Tayyip Erdoğan'ın liderliğinde ülkemizde son 22 yılda yasakları kaldıran, hak ve özgürlükleri genişleten çok sayıda adım atılmış, kadınlara yönelik 'pozitif ayrımcılık' ilkesi yine bu dönemde Anayasal kural haline getirilmiştir. Kadınların hiçbir ayrım gözetilmeden çalışma hayatında yer almaları birileri rahatsız olsa da yine bu dönemde hayata geçmiştir. Türk kadını çalışma hayatının her alanında olduğu gibi yargı teşkilatımızda da başarılarıyla öne çıkmaktadır. Adalet teşkilatımızda görev yapan 8 bin 871 kadın hakim ve savcımız, adaletin tecellisi için ülkemizin dört bir yanında fedakarca çalışmaktadır.
Avukatın yaptığı yakışıksız hareket, başı açık ya da kapalı olsun tüm kadın hakim ve savcılarımızı da derinden üzmüştür. Kadınlara ikinci sınıf muamelesi yapan, hak ve özgürlüklere hakaret eden bu tür olaylar artık geride kalmıştır. Son 22 yılda temel hak ve özgürlüklerin önünü açtığımız ülkemizde takınılan bu tavır asla kabul edilemez. Yaşanan üzücü olayla ilgili Ankara Cumhuriyet Başsavcılığı tarafından soruşturma başlatılmıştır.""
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
"Mhp Genel Başkanı Devlet Bahçeli, CHP Genel Başkanı Özgür Özel'in, CHP'ye yeni bir renk kattığını ifade etti.
Kızılcahamam'da gazetecilerle bir araya gelerek sohbet eden Bahçeli, gündeme ilişkin soruları da yanıtladı. CHP ile ilgili bir soru üzerine Bahçeli, ""Onlara göre birinci parti konumuna geldiler ama bize göre değil."" dedi.


CHP Genel Başkanı Özgür Özel'i Meclis'te yakından takip ettiğini ifade ederek Özel'in hareketli, heyecanlı ve konuşkan bir insan olduğunu belirten Bahçeli, ""CHP'ye yeni bir renk kattı. Ama bu renk güneşin batışı sırasındaki yedi renge bürünürse tehlike ama güneşin renginde kalırsa, yani köklü bir CHP olarak kalırsa faydalı olabilir diye düşünüyorum. Güneşin renklerini biliyorsunuz değil mi? Her renk var orada. Oraya dönüşmemesi lazım."" değerlendirmesinde bulundu.

Yeni partiler kurulacağının ifade edilmesi üzerine, partilerin sayısının artırılmasının sonuç vermediğinin altını çizen Bahçeli, ""Partilerin kalitesini yükseltmek, kadrosunu zenginleştirmek, projeler üreterek topluma daha fazla yardım, hizmet sunabilecek yapılara kavuşturmak, önemli olan mevcut siyasi partileri güçlendirmek. Bunların daha tercih edilmesi lazım."" ifadelerini kullandı.

Kurulan ve kurulması planlanan milliyetçi partilerle ilgili soru üzerine Bahçeli, bunların içerisinde siyaseten yetişmiş, kendisini topluma kabullendirmiş insanlar bulunduğunu söyledi. Bahçeli, ""Bu insanları parça parça ederek küçültmenin bir manası yok. En akılcı yol, bu birikimi bir arada toplayıp, bir ortak görüş beraberliği çerisinde güçlü bir yapıya kavuşmaları. Suyun gözü dururken arktan su içilmez."" diye konuştu.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
"Beylikdüzü'nde dedesinin yanında refakatçi olarak kaldığı hastane odasında ölü bulunan genç hemşirenin, ölmeden önceki son anlarına ilişkin güvenlik kamerası görüntüleri ortaya çıktı.

Olay, 13 Mayıs'ta Beylikdüzü'nde bulunan Özel Birinci Hastanesi'nde yaşanmıştı. Dedesinin yanında refakatçi olarak kaldığı hastanede koluna ilaç enjekte edilmesinin ardından odada ölü bulunan hemşire Selen Bilgin olayına ilişkin yeni görüntü ortaya çıktı. Görüntülerde, 24 yaşındaki genç hemşirenin hastane koridorlarında dolaştığı görüldü.
Selen Bilgin
Olaya ilişkin cebinden iğneyle enjekte edilen ilacın şişesinin çıktığı ileri sürülen doktor Fatih A. da görüntülerde yer aldı. Güvenlik kamerası görüntülerinde Fatih A.'nın da Selen Bilgin'in girdiği odadan dakikalar sonra çıkması yer aldı.
Doktor Fatih A.
Öte yandan Doktor Fatih A., Selen Bilgin'in ilacı kendi kendine kolundan enjekte ettiğini söylemiş suçlamaları reddetmişti. Doktor Fatih A. sevk edildiği mahkemece adli kontrol şartıyla serbest bırakılmıştı.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",teknoloji 
"Gençlik ve  Spor Bakanı Osman Aşkın Bak, 81 il ve KKTC'den gelen temsilci gençler, Bakanlık personeli, federasyon temsilcileriyle  Anıtkabir'e ziyarette bulundu.

Heyet, Aslanlı Yol'dan yürüyerek Atatürk'ün mozolesine geldi. Kurtulmuş'un mozoleye çelenk bırakmasının ardından saygı duruşunda bulunuldu ve İstiklal Marşı okundu.

Bakan Bak daha sonra buradan Misak-ı Milli Kulesi'nde Anıtkabir Özel Defteri'ni imzaladı. Bakan Bak'ın yazdığı mesajda ""Milli Mücadelenin meşalesini yakmanızın üzerinden tam 105 yıl geçti. Tarihin akışını değiştiren o meşale bugün Türk Milleti'nin ve gençliğinin ruhunda aynı heyecan, umut ve inançla yanıyor.

Gençlerimiz kendilerine emanet edilen canımızdan aziz bu vatanı aydınlık yarınlara taşımak için tüm gücüyle çalışırken bizler de onları her gün gelişen güçlü imkanlarla destekliyoruz. Türkiye Cumhuriyeti'nin 2. yüzyılında da aşkla yılmadan çalışarak ülkemizi, bayrağımızı her alanda yüceltmeye devam edeceğiz.

Eğitimde, bilimde, sanatta, sporda dünyaya iz bırakan, yol açan, öncülük eden gençlerimizle omuz omuza vererek emanetinize sadakat ve vefayla sahip çıkacağız"" ifadelerini kullandı.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",teknoloji 
"19 Mayıs Atatürk'ü Anma, Gençlik ve  Spor Bayramı dolayısıyla mesaj yayımlayan Cumhurbaşkanı Erdoğan, gençlere ""Yeni Türkiye Yüzyılı'nın neferleri olan sizler böyle bir bilinç ve özgüvenle tarihinize, bugününüze sahip çıkıp birbirinizle kenetlenin, birbirinizle kardeşlik hukukunuzu geliştirin."" ifadeleriyle seslendi.

Erdoğan, ""Aziz Milletim, Sevgili Gençler"" hitabıyla başladığı mesajında ""19 Mayıs ruhu, bu milletin en büyük varlığı, en büyük sermayesidir. Zorluklara karşı durmanın, azimle, inançla, kararlılıkla hep beraber mücadele etmenin anlamı bu ruhta gizlidir."" ifadelerini kullandı. Erdoğan'ın mesajı şu şekilde:
""Samsun'da bundan tam 105 yıl önce başlayan ve Millî Mücadelemizi zaferle taçlandıran 19 Mayıs 1919, güçlü Türkiye'nin inşasında ilk tuğlanın konulduğu tarihtir.
Bu tarih, milletimizin düşman işgaline karşı ülkemizin her köşesinden yükselen istiklal ve istikbal ruhunun kıvılcımı olmuştur.
Milletimizin esarete karşı direnişini ortaya koyarak topyekûn bir varoluş mücadelesini başlattığı bu sürecin devamında ya istiklal ya ölüm nidalarıyla vücut bulan varlık-yokluk mücadelesi başlamıştır.
Samsun'da yanan istiklal meşalesi, Amasya, Erzurum, Sivas ve ardından Ankara ile tüm Anadolu'ya yayılmıştır.
19 Mayıs ruhu, bu milletin en büyük varlığı, en büyük sermayesidir. Zorluklara karşı durmanın, azimle, inançla, kararlılıkla hep beraber mücadele etmenin anlamı bu ruhta gizlidir.
Ülkemizin karşı karşıya kaldığı her türlü baskıya, provokasyona rağmen hızlandırdığı kalkınma, büyüme, güçlenme mücadelesini ancak 19 Mayıs'ın ruhuna, özüne, ilkelerine, ideallerine ve hedeflerine sahip çıkarak sürdürebiliriz.
Yeni Türkiye Yüzyılı'nın neferleri olan sizler böyle bir bilinç ve özgüvenle tarihinize, bugününüze sahip çıkıp birbirinizle kenetlenin, birbirinizle kardeşlik hukukunuzu geliştirin.
Siz gençlerimizin ve aziz milletimizin 19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı'nı kutluyor, Gazi Mustafa Kemal başta olmak üzere Kurtuluş Savaşımızın bütün kahramanlarını bir kez daha saygıyla anıyorum.""
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
"Ayhan Bora Kaplan suç örgütüne ilişkin iddialarda adı geçen ve gözaltına alınan 7 şüpheli, emniyetteki işlemlerinin tamamlanması sonrasında  Ankara Adliyesi'ne sevk edildi.

Ankara Cumhuriyet Başsavcılığınca, Ayhan Bora Kaplan suç örgütüne ilişkin davanın firari sanığı  Serdar Sertçelik'in iddiaları üzerine, ""suç işlemek için anlaşmak"", ""adil yargılamayı ve tanığı etkilemeye teşebbüs"", ""görevi kötüye kullanma"" ve ""suçluyu kayırma"" suçlarından başlatılan soruşturma sürüyor. Soruşturma kapsamında gözaltında bulunan 7 şüpheliden 3'ünün emniyetteki işlemleri tamamlandı.
Ayhan Bora Kaplan suç örgütüne yönelik açılan davanın firari sanığı  Serdar Sertçelik'in iddiaları üzerine gözaltına alınan 3 emniyet görevlisi, sabah saatlerinde  Ankara Adliyesi'ne getirildi. Daha sonra sorguları tamamlanan 4 şüpheli daha adliyeye sevk edildi. Toplam sayı 7'ye ulaştı.

Ankara İl Emniyet Müdürlüğü Terörle Mücadele Şube Müdürlüğündeki sorguları tamamlanan şüpheliler, adliyede soruşturmayı yürüten cumhuriyet savcısına ifade veriyor.
Diğer şüphelilerin ifadelerinin alınmasına yönelik işlemlerin Terörle Mücadele Şube Müdürlüğünde sürdüğü, işlemleri tamamlandıktan sonra adliyeye sevk edilecekleri öğrenildi.
Ankara Cumhuriyet Başsavcılığınca hazırlanan iddianamede, Ayhan Bora Kaplan ve 5 örgüt yöneticisi hakkında 'suç işlemek amacıyla silahlı örgüt kurmak ve yönetmek', 'kasten adam öldürme', 'nitelikli kasten adam öldürme', 'kasten yaralama', 'kişiyi hürriyetinden yoksun kılma', 'nitelikli yağma', 'eziyet', 'suç delillerini yok etme, gizleme veya değiştirme', 'suç üstlenme' ve 'suçluyu kayırma' suçlarından 1'i ağırlaştırılmış 2'şer kez müebbet ve 169 yıl 6'şar aya kadar hapis cezası istenmişti. Diğer 55 sanık için de çeşitli sürelerde hapis cezası talep edilmişti.
Yurt dışına kaçan gizli tanık  Serdar Sertçelik'in Ankara Emniyet Müdürlüğü'ndeki polis müdürleriyle ilgili ""kumpas"" iddiaları sonrası çok sayıda kamu görevlisi gözaltına alınmıştı. Soruşturma kapsamında Organize Suçlarla Mücadele'den sorumlu Ankara Emniyet Müdür Yardımcısı Murat Çelik, Organize Suçlarla Mücadele Şube Müdürü Kerem Gökay Öner ve Müdür Yardımcısı Şevket Demircan açığa alınmış, daha sonra haklarında gözaltı kararı verilmişti.

3 polis müdüründen Kerem Gökay Öner serbest bırakıldı. Devam eden soruşturma kapsamında; firari sanık Serdar Sertçelik ile şüpheli Şevket Demircan arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığı'nın talimatıyla gözaltına alındı. Toplam gözaltı sayısı 8'e yükseldi.
Ankara Cumhuriyet Başsavcılığından yapılan açıklamada, ""Devam eden soruşturma kapsamında; firari sanık S.S. ile şüpheli Ş.D. arasındaki iletişime aracılık eden sivil şahıs N.Ö.K. Ankara Cumhuriyet Başsavcılığımızın talimatıyla gözaltına alınmıştır. Halen gözaltında 8 şüpheli bulunmaktadır. Şüphelilerin dijitallerinin inceleme işlemleri devam etmektedir. Soruşturmada gelişme oldukça kamuoyuyla paylaşılacağı hususu saygıyla duyurulur."" denildi.
Öte yandan soruşturmada ""M7"" kod adı ile gizli tanıklık yapan Sertçelik'in gözaltındayken kimlerle görüştürüldüğü, elektronik kelepçeyle nasıl rahat dolaştığı, nasıl kaçtığı, bazı siyasetçi ve bürokrat isimlerinin neden dosyaya sokulmaya çalışıldığı gibi soruların yanıtları aranıyor.
Haberler.com: Türkiye'nin en kapsamlı haber sitesi. Son dakika haberleri ve en güncel gelişmeler Haberler.com'da.",siyaset 
